id,total_value,neighborhood,pclass,p13_date,sqft,bathrooms,bedrooms,allrooms,stories,units,zoning,construction,year_built,basement_sqft,lot_sqft,change_date,sales_date,recordation_date,zipcode
1460314,3027616,Pacific Heights,Dwelling,2006-11-01,2700,3.0,3,7,2,1,RH2,D,1926,0,3846,11/01/2006,11/02/1941,04/23/1970,94115
759256,672859,Pacific Heights,Condominium,2010-02-19,870,1.0,1,3,1,1,RH1,D,1960,0,0,01/01/1999,02/19/2010,02/19/2010,94115
724193,792157,Noe Valley,Dwelling,1999-08-01,1848,2.0,3,7,2,1,RH1,D,1927,698,2848,08/01/1999,08/19/1930,08/19/1930,94131
1565236,450032,Bayview,Dwelling,2014-03-01,1600,1.0,3,6,1,1,RH2,D,1951,0,3332,03/01/2014,02/08/2013,02/08/2013,94124
1637372,1808172,Pacific Heights,Condominium,2012-11-30,2000,2.0,4,8,4,1,RH2,D,1900,0,0,10/01/1996,11/30/2012,11/30/2012,94115
693014,1091262,Noe Valley,Condominium,2011-12-21,1681,2.0,3,6,1,1,RH2,D,1992,1681,1077,02/01/2004,03/10/1940,12/21/2011,94131
1835897,1322331,Pacific Heights,Condominium,1999-08-01,2000,2.0,3,7,3,1,RM1,D,1900,0,0,08/01/1999,03/31/1993,03/31/1993,94115
1804118,999517,Parkside,Dwelling,2014-03-01,2250,2.0,2,6,1,1,RH1,D,1936,750,2407.5,03/01/2014,05/08/2013,05/08/2013,94116
1035088,1485712,Pacific Heights,Condominium,2011-07-26,1623,2.0,3,6,1,1,RM1,D,1923,0,0,12/01/1996,07/14/2011,07/26/2011,94115
72384,1030294,Noe Valley,Dwelling,2010-09-30,2496,3.0,3,7,2,1,RH1,D,1988,0,2850,12/01/1998,05/21/1991,09/30/2010,94131
908516,1045123,Noe Valley,Dwelling,2014-12-01,955,1.0,2,4,1,1,RH2,D,1900,0,2850,12/01/2014,12/02/2010,12/02/2010,94131
1618352,243040,Parkside,Dwelling,1999-08-01,3375,4.0,7,13,2,1,RH1,D,1947,900,3000,08/01/1999,,11/07/1951,94116
1101763,696741,Outer Sunset,Dwelling,2015-04-01,600,1.0,1,3,1,1,RH1,D,1921,0,1625,04/01/2015,01/04/1951,01/04/1951,94122
794193,712118,Noe Valley,Condominium,2014-06-03,1107,2.0,2,4,1,1,RH2,D,1988,0,0,04/01/1996,06/03/2014,06/03/2014,94131
150292,519932,Pacific Heights,Condominium,2013-04-19,1652,2.0,2,4,1,1,RH1,D,1960,0,0,09/01/1994,05/03/1994,04/19/2013,94115
50188,1012723,Noe Valley,Condominium,2011-04-08,1455,3.0,2,7,3,1,RH2,D,1921,0,1221,10/01/2007,04/08/2011,04/08/2011,94114
405974,1404269,Noe Valley,Dwelling,2013-09-01,1650,2.0,3,7,2,1,RH2,D,1906,0,4164,09/01/2013,08/02/1960,07/21/1990,94114
1281682,5852700,Pacific Heights,Dwelling,2012-10-26,4100,5.0,5,10,2,1,RH1D,D,1927,0,6873,08/01/1999,10/26/2012,10/26/2012,94123
857817,573118,Noe Valley,Dwelling,1998-12-01,1438,2.0,2,5,2,1,RH2,D,1910,0,2850,12/01/1998,09/04/1990,06/02/1998,94131
1040322,13812424,Pacific Heights,Dwelling,2012-11-02,5478,2.0,5,13,2,1,RH1D,D,1900,444,5500,08/01/1999,11/02/2012,11/02/2012,94123
329654,410294,Parkside,Dwelling,1999-01-01,1539,2.0,2,8,1,1,RH1,D,1948,352,3000,01/01/1999,06/30/1998,06/30/1998,94116
